folder,condition,gaze_magnitude,n_frames,onset_frame
gaze_control_frames/gaze_0_control,control,0,30,15
gaze_quadbright_frames/gaze_0_quadbright,quadbright,0,30,15
gaze_control_frames/gaze_1_control,control,1,30,15
gaze_quadbright_frames/gaze_1_quadbright,quadbright,1,30,15
gaze_control_frames/gaze_2_control,control,2,30,15
gaze_quadbright_frames/gaze_2_quadbright,quadbright,2,30,15
gaze_control_frames/gaze_3_control,control,3,30,15
gaze_quadbright_frames/gaze_3_quadbright,quadbright,3,30,15
gaze_control_frames/gaze_4_control,control,4,30,15
gaze_quadbright_frames/gaze_4_quadbright,quadbright,4,30,15
gaze_control_frames/gaze_5_control,control,5,30,15
gaze_quadbright_frames/gaze_5_quadbright,quadbright,5,30,15
gaze_control_frames/gaze_6_control,control,6,30,15
gaze_quadbright_frames/gaze_6_quadbright,quadbright,6,30,15
gaze_control_frames/gaze_7_control,control,7,30,15
gaze_quadbright_frames/gaze_7_quadbright,quadbright,7,30,15
gaze_control_frames/gaze_8_control,control,8,30,15
gaze_quadbright_frames/gaze_8_quadbright,quadbright,8,30,15
gaze_control_frames/gaze_9_control,control,9,30,15
gaze_quadbright_frames/gaze_9_quadbright,quadbright,9,30,15
gaze_control_frames/gaze_10_control,control,10,30,15
gaze_quadbright_frames/gaze_10_quadbright,quadbright,10,30,15
gaze_control_frames/gaze_11_control,control,11,30,15
gaze_quadbright_frames/gaze_11_quadbright,quadbright,11,30,15
gaze_control_frames/gaze_12_control,control,12,30,15
gaze_quadbright_frames/gaze_12_quadbright,quadbright,12,30,15
gaze_control_frames/gaze_13_control,control,13,30,15
gaze_quadbright_frames/gaze_13_quadbright,quadbright,13,30,15
gaze_control_frames/gaze_14_control,control,14,30,15
gaze_quadbright_frames/gaze_14_quadbright,quadbright,14,30,15
gaze_control_frames/gaze_15_control,control,15,30,15
gaze_quadbright_frames/gaze_15_quadbright,quadbright,15,30,15
gaze_control_frames/gaze_16_control,control,16,30,15
gaze_quadbright_frames/gaze_16_quadbright,quadbright,16,30,15
gaze_control_frames/gaze_17_control,control,17,30,15
gaze_quadbright_frames/gaze_17_quadbright,quadbright,17,30,15
gaze_control_frames/gaze_18_control,control,18,30,15
gaze_quadbright_frames/gaze_18_quadbright,quadbright,18,30,15
gaze_control_frames/gaze_19_control,control,19,30,15
gaze_quadbright_frames/gaze_19_quadbright,quadbright,19,30,15
gaze_control_frames/gaze_20_control,control,20,30,15
gaze_quadbright_frames/gaze_20_quadbright,quadbright,20,30,15
gaze_control_frames/gaze_21_control,control,21,30,15
gaze_quadbright_frames/gaze_21_quadbright,quadbright,21,30,15
gaze_control_frames/gaze_22_control,control,22,30,15
gaze_quadbright_frames/gaze_22_quadbright,quadbright,22,30,15
gaze_control_frames/gaze_23_control,control,23,30,15
gaze_quadbright_frames/gaze_23_quadbright,quadbright,23,30,15
gaze_control_frames/gaze_24_control,control,24,30,15
gaze_quadbright_frames/gaze_24_quadbright,quadbright,24,30,15
gaze_control_frames/gaze_25_control,control,25,30,15
gaze_quadbright_frames/gaze_25_quadbright,quadbright,25,30,15
gaze_control_frames/gaze_26_control,control,26,30,15
gaze_quadbright_frames/gaze_26_quadbright,quadbright,26,30,15
gaze_control_frames/gaze_27_control,control,27,30,15
gaze_quadbright_frames/gaze_27_quadbright,quadbright,27,30,15
gaze_control_frames/gaze_28_control,control,28,30,15
gaze_quadbright_frames/gaze_28_quadbright,quadbright,28,30,15
gaze_control_frames/gaze_29_control,control,29,30,15
gaze_quadbright_frames/gaze_29_quadbright,quadbright,29,30,15
gaze_control_frames/gaze_30_control,control,30,30,15
gaze_quadbright_frames/gaze_30_quadbright,quadbright,30,30,15
